"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_227",1.95,0.308114195454045,5.36563847798123,65.88,45.88,1.62,0.39,0.82,48.3056307602396,0.41,0.120036869644093,29.57,41.1,475.68,10.0971371799665,557.33,11.27,2.74,2.3
"PPN_228",2.31,0.317347592054097,6.63533569224897,78.07,48.64,1.36,0.42,0.83,41.4331634382558,0.43,0.0988914387545092,31.03,41,474.03,11.4955311518188,361.33,13.2,2.14,2.26
"PPN_229",3.36,0.378195401347224,9.39835482178638,117.43,54.89,1.29,0.49,0.84,26.6340847657752,0.41,0.0688594924171,28.57,37.07,403.93,13.910814493827,373.33,16,1.01,1.79
"PPN_230",2.64,0.315344527145144,7.82603631438959,87.57,49.9,1.29,0.44,0.85,34.339494467037,0.4,0.0899333710607627,24.47,37.9,418.43,12.436747480773,320,14.33,1.14,1.95
"PPN_231",1.85,0.218972385992526,7.59045996258458,61.74,40.85,1.65,0.46,0.84,35.0504119326929,0.4,0.0922972191994664,26.43,39.03,439.88,12.8015717212145,654.67,15.0130127857248,1.1,2.06
"PPN_232",1.76,0.172118600079226,8.51789893222398,58.45,41.39,1.6,0.42,0.81,30.3544829544605,0.46,0.0664327670026209,22.9,45.87,572.06,16.4873035814663,426.67,14.15,1.02,2.67
"PPN_233",2.16,0.321392746395696,5.83956413965935,72.09,46.37,1.71,0.42,0.9,45.9402549228022,0.44,0.106222749272427,28,48.5,626.88,13.9723914233761,476,11.4419651717778,1.04,1.45
"PPN_234",4.19,0.515135524489335,8.0613982235278,135.21,62.91,1.53,0.42,0.85,37.3115492237864,0.44,0.0855042675990679,27.87,42.43,502.26,13.4653086189585,524,13.67,2.3,2.55
"PPN_235",3,0.357645052376343,7.95754094466276,105.48,49.48,1.34,0.54,0.93,29.5832928002204,0.35,0.091687634779344,26.67,41.33,479.95,14.5263552660864,592,14.3,1.26,2.18
"PPN_236",2.19,0.28997740231752,6.50195699879932,67.43,40.53,1.56,0.51,0.91,41.5049322919729,0.37,0.116033160940139,26.18,36.58,396.21,10.4117245100083,576,12.7,0.97,1.94
"PPN_237",2.1,0.243887738599438,7.74155212363929,78.89,45.5,1.14,0.48,0.89,28.7482664331304,0.36,0.0862209649921345,24,37.8,415.66,13.2683636468579,380,16.1,1.17,1.92
"PPN_238",2.26,0.289990060720907,7.2179777907633,74.49,45.5,1.42,0.45,0.83,38.7111164352176,0.38,0.107424317892423,31.8,47.63,608.06,15.0328885081744,557.33,13.75,1.29,2.06
"PPN_239",2.43,0.311120574413187,6.91100629750639,73.73,48.35,1.39,0.4,0.85,41.8214873727479,0.44,0.0958219959248726,28.43,39.23,441.53,11.2067087130918,518.67,16.77,1.08,1.68
"PPN_240",2.09,0.280921875246492,6.94179649394603,74.81,45.29,1.18,0.46,0.87,37.5356796126074,0.44,0.0862652428080158,35.23,37.22,405.7,10.6659403599647,572.67,13.27,1.16,2.33
"PPN_241",1.83,0.169017938832329,8.21053392158252,60.15,39.53,1.56,0.48,0.86,27.4023478662881,0.36,0.0914962204780692,22.3,60,910.84,22.5649659196848,180,11.1,2.27,4.25
